support,itemsets
0.050724637681159424,"frozenset({'conflict resolution', 'customer service'})"
0.06843800322061191,"frozenset({'conflict resolution', 'leadership'})"
0.0748792270531401,"frozenset({'customer service', 'excel'})"
0.05837359098228664,"frozenset({'inventory management', 'customer service'})"
0.16626409017713364,"frozenset({'leadership', 'customer service'})"
0.06521739130434782,"frozenset({'customer service', 'microsoft office'})"
0.14210950080515297,"frozenset({'problem solving', 'customer service'})"
0.055958132045088566,"frozenset({'teamwork', 'customer service'})"
0.07648953301127215,"frozenset({'time management', 'customer service'})"
0.061191626409017714,"frozenset({'leadership', 'data analysis'})"
0.10064412238325282,"frozenset({'excel', 'data entry'})"
0.055958132045088566,"frozenset({'leadership', 'data entry'})"
0.10305958132045089,"frozenset({'microsoft office', 'data entry'})"
0.06280193236714976,"frozenset({'interpersonal', 'excel'})"
0.2427536231884058,"frozenset({'leadership', 'excel'})"
0.24758454106280192,"frozenset({'excel', 'microsoft office'})"
0.057971014492753624,"frozenset({'negotiation', 'excel'})"
0.16586151368760063,"frozenset({'excel', 'organization'})"
0.06763285024154589,"frozenset({'payroll', 'excel'})"
0.16143317230273752,"frozenset({'powerpoint', 'excel'})"
0.14653784219001612,"frozenset({'problem solving', 'excel'})"
0.10909822866344605,"frozenset({'excel', 'project management'})"
0.10265700483091787,"frozenset({'teamwork', 'excel'})"
0.09460547504025765,"frozenset({'time management', 'excel'})"
0.12640901771336555,"frozenset({'word', 'excel'})"
0.17673107890499196,"frozenset({'leadership', 'microsoft office'})"
0.08091787439613526,"frozenset({'negotiation', 'leadership'})"
0.1529790660225443,"frozenset({'leadership', 'organization'})"
0.05475040257648953,"frozenset({'payroll', 'leadership'})"
0.09380032206119163,"frozenset({'powerpoint', 'leadership'})"
0.25966183574879226,"frozenset({'leadership', 'problem solving'})"
0.1501610305958132,"frozenset({'leadership', 'project management'})"
0.09541062801932366,"frozenset({'leadership', 'teamwork'})"
0.13768115942028986,"frozenset({'time management', 'leadership'})"
0.06642512077294686,"frozenset({'leadership', 'word'})"
0.09742351046698873,"frozenset({'organization', 'microsoft office'})"
0.0535426731078905,"frozenset({'powerpoint', 'microsoft office'})"
0.10869565217391304,"frozenset({'problem solving', 'microsoft office'})"
0.0607890499194847,"frozenset({'project management', 'microsoft office'})"
0.06964573268921095,"frozenset({'teamwork', 'microsoft office'})"
0.06682769726247988,"frozenset({'time management', 'microsoft office'})"
0.05152979066022544,"frozenset({'negotiation', 'problem solving'})"
0.05152979066022544,"frozenset({'powerpoint', 'organization'})"
0.09017713365539452,"frozenset({'problem solving', 'organization'})"
0.06360708534621579,"frozenset({'organization', 'project management'})"
0.052737520128824475,"frozenset({'time management', 'organization'})"
0.055152979066022546,"frozenset({'word', 'organization'})"
0.06964573268921095,"frozenset({'powerpoint', 'problem solving'})"
0.08172302737520129,"frozenset({'powerpoint', 'word'})"
0.0861513687600644,"frozenset({'problem solving', 'project management'})"
0.1034621578099839,"frozenset({'problem solving', 'teamwork'})"
0.14090177133655393,"frozenset({'time management', 'problem solving'})"
0.07890499194847021,"frozenset({'time management', 'teamwork'})"
0.07447665056360708,"frozenset({'attention to detail', 'communication', 'adaptability'})"
0.0535426731078905,"frozenset({'collaboration', 'communication', 'adaptability'})"
0.0853462157809984,"frozenset({'customer service', 'communication', 'adaptability'})"
0.11272141706924316,"frozenset({'leadership', 'communication', 'adaptability'})"
0.06763285024154589,"frozenset({'problem solving', 'communication', 'adaptability'})"
0.06038647342995169,"frozenset({'leadership', 'customer service', 'adaptability'})"
0.06038647342995169,"frozenset({'leadership', 'problem solving', 'adaptability'})"
0.08816425120772947,"frozenset({'customer service', 'communication', 'attention to detail'})"
0.05676328502415459,"frozenset({'excel', 'communication', 'attention to detail'})"
0.09581320450885668,"frozenset({'leadership', 'communication', 'attention to detail'})"
0.07648953301127215,"frozenset({'problem solving', 'communication', 'attention to detail'})"
0.061191626409017714,"frozenset({'leadership', 'customer service', 'attention to detail'})"
0.0644122383252818,"frozenset({'leadership', 'problem solving', 'attention to detail'})"
0.052737520128824475,"frozenset({'budgeting', 'leadership', 'communication'})"
0.08333333333333333,"frozenset({'leadership', 'collaboration', 'communication'})"
0.05756843800322061,"frozenset({'conflict resolution', 'leadership', 'communication'})"
0.06561996779388084,"frozenset({'customer service', 'excel', 'communication'})"
0.15177133655394526,"frozenset({'leadership', 'customer service', 'communication'})"
0.055152979066022546,"frozenset({'customer service', 'communication', 'microsoft office'})"
0.12399355877616747,"frozenset({'problem solving', 'customer service', 'communication'})"
0.05233494363929147,"frozenset({'teamwork', 'communication', 'customer service'})"
0.06481481481481481,"frozenset({'time management', 'customer service', 'communication'})"
0.05233494363929147,"frozenset({'leadership', 'data analysis', 'communication'})"
0.08454106280193237,"frozenset({'excel', 'communication', 'data entry'})"
0.08776167471819646,"frozenset({'microsoft office', 'communication', 'data entry'})"
0.05394524959742351,"frozenset({'interpersonal', 'excel', 'communication'})"
0.19887278582930756,"frozenset({'leadership', 'excel', 'communication'})"
0.20128824476650564,"frozenset({'excel', 'communication', 'microsoft office'})"
0.12681159420289856,"frozenset({'excel', 'communication', 'organization'})"
0.05475040257648953,"frozenset({'payroll', 'excel', 'communication'})"
0.13325281803542674,"frozenset({'powerpoint', 'excel', 'communication'})"
0.11594202898550725,"frozenset({'problem solving', 'excel', 'communication'})"
0.0889694041867955,"frozenset({'excel', 'communication', 'project management'})"
0.09460547504025765,"frozenset({'teamwork', 'excel', 'communication'})"
0.071658615136876,"frozenset({'time management', 'excel', 'communication'})"
0.10507246376811594,"frozenset({'word', 'excel', 'communication'})"
0.14492753623188406,"frozenset({'leadership', 'communication', 'microsoft office'})"
0.06843800322061191,"frozenset({'negotiation', 'leadership', 'communication'})"
0.1252012882447665,"frozenset({'leadership', 'communication', 'organization'})"
0.08091787439613526,"frozenset({'powerpoint', 'leadership', 'communication'})"
0.23107890499194847,"frozenset({'leadership', 'problem solving', 'communication'})"
0.12761674718196458,"frozenset({'leadership', 'communication', 'project management'})"
0.08816425120772947,"frozenset({'leadership', 'teamwork', 'communication'})"
0.1179549114331723,"frozenset({'time management', 'leadership', 'communication'})"
0.05314009661835749,"frozenset({'leadership', 'word', 'communication'})"
0.07246376811594203,"frozenset({'organization', 'communication', 'microsoft office'})"
0.08735909822866345,"frozenset({'problem solving', 'communication', 'microsoft office'})"
0.06360708534621579,"frozenset({'teamwork', 'communication', 'microsoft office'})"
0.050724637681159424,"frozenset({'time management', 'communication', 'microsoft office'})"
0.07648953301127215,"frozenset({'problem solving', 'communication', 'organization'})"
0.05314009661835749,"frozenset({'organization', 'communication', 'project management'})"
0.05756843800322061,"frozenset({'powerpoint', 'problem solving', 'communication'})"
0.06682769726247988,"frozenset({'powerpoint', 'word', 'communication'})"
0.07286634460547504,"frozenset({'problem solving', 'communication', 'project management'})"
0.09702093397745572,"frozenset({'problem solving', 'teamwork', 'communication'})"
0.12198067632850242,"frozenset({'time management', 'problem solving', 'communication'})"
0.07367149758454106,"frozenset({'time management', 'teamwork', 'communication'})"
0.09943639291465378,"frozenset({'problem solving', 'leadership', 'customer service'})"
0.057971014492753624,"frozenset({'problem solving', 'customer service', 'time management'})"
0.09541062801932366,"frozenset({'excel', 'microsoft office', 'data entry'})"
0.12318840579710146,"frozenset({'leadership', 'excel', 'microsoft office'})"
0.09863123993558776,"frozenset({'leadership', 'excel', 'organization'})"
0.08091787439613526,"frozenset({'powerpoint', 'leadership', 'excel'})"
0.0893719806763285,"frozenset({'leadership', 'problem solving', 'excel'})"
0.06561996779388084,"frozenset({'leadership', 'excel', 'project management'})"
0.05314009661835749,"frozenset({'time management', 'leadership', 'excel'})"
0.06320450885668277,"frozenset({'leadership', 'excel', 'word'})"
0.08494363929146538,"frozenset({'excel', 'organization', 'microsoft office'})"
0.06602254428341385,"frozenset({'problem solving', 'excel', 'microsoft office'})"
0.05233494363929147,"frozenset({'teamwork', 'excel', 'microsoft office'})"
0.05394524959742351,"frozenset({'word', 'excel', 'organization'})"
0.05998389694041868,"frozenset({'powerpoint', 'problem solving', 'excel'})"
0.07971014492753623,"frozenset({'powerpoint', 'word', 'excel'})"
0.05998389694041868,"frozenset({'leadership', 'organization', 'microsoft office'})"
0.07326892109500806,"frozenset({'leadership', 'problem solving', 'microsoft office'})"
0.0644122383252818,"frozenset({'leadership', 'problem solving', 'organization'})"
0.06561996779388084,"frozenset({'leadership', 'problem solving', 'project management'})"
0.08132045088566828,"frozenset({'problem solving', 'leadership', 'teamwork'})"
0.10225442834138486,"frozenset({'time management', 'leadership', 'problem solving'})"
0.059178743961352656,"frozenset({'time management', 'leadership', 'teamwork'})"
0.06964573268921095,"frozenset({'problem solving', 'teamwork', 'time management'})"
0.055958132045088566,"frozenset({'leadership', 'customer service', 'communication', 'adaptability'})"
0.05434782608695652,"frozenset({'leadership', 'problem solving', 'communication', 'adaptability'})"
0.055958132045088566,"frozenset({'leadership', 'customer service', 'communication', 'attention to detail'})"
0.059178743961352656,"frozenset({'leadership', 'problem solving', 'communication', 'attention to detail'})"
0.09178743961352658,"frozenset({'problem solving', 'leadership', 'customer service', 'communication'})"
0.050724637681159424,"frozenset({'problem solving', 'customer service', 'time management', 'communication'})"
0.08091787439613526,"frozenset({'microsoft office', 'excel', 'communication', 'data entry'})"
0.09782608695652174,"frozenset({'leadership', 'excel', 'communication', 'microsoft office'})"
0.07447665056360708,"frozenset({'leadership', 'excel', 'communication', 'organization'})"
0.06924315619967794,"frozenset({'powerpoint', 'leadership', 'excel', 'communication'})"
0.07608695652173914,"frozenset({'leadership', 'problem solving', 'excel', 'communication'})"
0.0535426731078905,"frozenset({'leadership', 'excel', 'communication', 'project management'})"
0.050724637681159424,"frozenset({'leadership', 'word', 'excel', 'communication'})"
0.0607890499194847,"frozenset({'organization', 'excel', 'communication', 'microsoft office'})"
0.050724637681159424,"frozenset({'problem solving', 'excel', 'communication', 'microsoft office'})"
0.06521739130434782,"frozenset({'powerpoint', 'word', 'excel', 'communication'})"
0.06360708534621579,"frozenset({'leadership', 'problem solving', 'communication', 'microsoft office'})"
0.0571658615136876,"frozenset({'leadership', 'problem solving', 'communication', 'organization'})"
0.05837359098228664,"frozenset({'leadership', 'problem solving', 'communication', 'project management'})"
0.07769726247987117,"frozenset({'problem solving', 'leadership', 'teamwork', 'communication'})"
0.09259259259259259,"frozenset({'time management', 'leadership', 'problem solving', 'communication'})"
0.05756843800322061,"frozenset({'time management', 'leadership', 'teamwork', 'communication'})"
0.06723027375201288,"frozenset({'problem solving', 'teamwork', 'time management', 'communication'})"
0.05555555555555555,"frozenset({'problem solving', 'leadership', 'teamwork', 'time management'})"
0.05475040257648953,"frozenset({'communication', 'time management', 'problem solving', 'teamwork', 'leadership'})"
